name,year,image_url,image_path,plot
Mad Max: Fury Road,2015,https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,mad_max_fury_road.jpg,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
The Revenant,2015,https://m.media-amazon.com/images/M/MV5BY2FmODc2N2QtYmY3MS00YTMwLWI2NGYtZWRmYWVkNjFjZmI0XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg,the_revenant.jpg,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
Bridge of Spies,2015,https://m.media-amazon.com/images/M/MV5BMjIxOTI0MjU5NV5BMl5BanBnXkFtZTgwNzM4OTk4NTE@._V1_SX300.jpg,bridge_of_spies.jpg,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
The Big Short,2015,https://m.media-amazon.com/images/M/MV5BNDc4MThhN2EtZjMzNC00ZDJmLThiZTgtNThlY2UxZWMzNjdkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,the_big_short.jpg,In 2006-7 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.
Room,2015,https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_SX300.jpg,room.jpg,"Held captive for years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
The Hateful Eight,2015,https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_SX300.jpg,the_hateful_eight.jpg,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
Ex Machina,2015,N/A,confused.jpg,"This fun and in depth conversation at SXSW from March 2015 featuring Alex Garland, Oscar Isaac, Rob Hardy, Geoff Barrow and Ben Salisbury."
Inside Out,2015,https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,inside_out.jpg,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Amy,2015,https://m.media-amazon.com/images/M/MV5BMTQ1MzE4MTE3OF5BMl5BanBnXkFtZTgwOTcyNDM3NTE@._V1_SX300.jpg,amy.jpg,Archival footage and personal testimonials present an intimate portrait of the life and career of British singer/songwriter Amy Winehouse.
Bear Story,2015,N/A,confused.jpg,"From my grandmother: a tale of bears, farms, siblings and the expanse of one's imagination."
A Girl in the River: The Price of Forgiveness,2015,https://m.media-amazon.com/images/M/MV5BNWIyODQ4YjYtNDljOS00MTQyLTk1ZjUtYzQ5MDc2YjFmNzg2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,a_girl_in_the_river_the_price_of_forgiveness.jpg,A woman in Pakistan sentenced to death for falling in love becomes a rare survivor of the country's harsh judicial system.
Son of Saul,2015,https://m.media-amazon.com/images/M/MV5BODcxYzMzNTktNDc2Zi00MzFjLWFhMDUtY2U2MTgxMTcyOTU5XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,son_of_saul.jpg,"In the horror of 1944 Auschwitz, a prisoner forced to burn the corpses of his own people finds moral survival upon trying to salvage from the flames the body of a boy he takes for his son."
Spectre,2015,https://m.media-amazon.com/images/M/MV5BOWQ1MDE1NzgtNTQ4OC00ZjliLTllZDAtN2IyOTVmMTc5YjUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,spectre.jpg,"A cryptic message from 007's past sends him pitted against a mysterious terrorist organization called Spectre, and learns of its involvement in previous events of his most dangerous missions."
Stutterer,2015,https://m.media-amazon.com/images/M/MV5BMTUwNTA2NzUxNl5BMl5BanBnXkFtZTgwNzIzNjczNzE@._V1_SX300.jpg,stutterer.jpg,A man whose lush inner thoughts are rendered mute by a crippling stutter feels isolated from the world despite a flourishing online relationship.
Birdman,2014,N/A,confused.jpg,"A portrait of Robert, a troubled but poetic soul struggling with his purgatorial existence in a hackney scrapyard."
The Grand Budapest Hotel,2014,https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_SX300.jpg,the_grand_budapest_hotel.jpg,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
Whiplash,2014,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,whiplash.jpg,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
The Imitation Game,2014,https://m.media-amazon.com/images/M/MV5BOTgwMzFiMWYtZDhlNS00ODNkLWJiODAtZDVhNzgyNzJhYjQ4L2ltYWdlXkEyXkFqcGdeQXVyNzEzOTYxNTQ@._V1_SX300.jpg,the_imitation_game.jpg,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
American Sniper,2014,https://m.media-amazon.com/images/M/MV5BMTkxNzI3ODI4Nl5BMl5BanBnXkFtZTgwMjkwMjY4MjE@._V1_SX300.jpg,american_sniper.jpg,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind."
Boyhood,2014,https://m.media-amazon.com/images/M/MV5BMTYzNDc2MDc0N15BMl5BanBnXkFtZTgwOTcwMDQ5MTE@._V1_SX300.jpg,boyhood.jpg,"The life of Mason, from early childhood to his arrival at college."
Interstellar,2014,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,interstellar.jpg,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Theory of Everything,2014,https://m.media-amazon.com/images/M/MV5BMTAwMTU4MDA3NDNeQTJeQWpwZ15BbWU4MDk4NTMxNTIx._V1_SX300.jpg,the_theory_of_everything.jpg,A look at the relationship between the famous physicist Stephen Hawking and his wife.
Ida,2014,N/A,confused.jpg,"Shot in and around Georgia O'Keeffe's New Mexico ranch, the film explores the possibility of exile through a series of customer support inquiries."
Selma,2014,https://m.media-amazon.com/images/M/MV5BZGZkNzFkYTgtYTBkZC00M2MzLWJhNzUtMGE4YzRhYmU2Zjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,selma.jpg,"A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965."
Citizenfour,2014,https://m.media-amazon.com/images/M/MV5BMTc0MTM0MTA5MF5BMl5BanBnXkFtZTgwNzEwODEwMzE@._V1_SX300.jpg,citizenfour.jpg,A documentarian and a reporter travel to Hong Kong for the first of many meetings with Edward Snowden.
Big Hero 6,2014,https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,big_hero_6.jpg,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
Crisis Hotline: Veterans Press 1,2014,N/A,confused.jpg,No description
The Phone Call,2014,N/A,confused.jpg,No description
Still Alice,2014,https://m.media-amazon.com/images/M/MV5BMjIzNzAxNjY1Nl5BMl5BanBnXkFtZTgwMDg4ODQxMzE@._V1_SX300.jpg,still_alice.jpg,A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimer's Disease.
Feast,2014,https://m.media-amazon.com/images/M/MV5BNDc3YTEzZDItNjE2Yy00Nzg2LTgxMDAtNWMxOTJiMWQxZmNiXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg,feast.jpg,"The love life of a man as told through the meals he gives his adopted dog, Winston."
12 Years a Slave,2013,https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,12_years_a_slave.jpg,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Gravity,2013,https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,gravity.jpg,Two astronauts work together to survive after an accident which leaves them stranded in space.
Dallas Buyers Club,2013,https://m.media-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_SX300.jpg,dallas_buyers_club.jpg,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
Frozen,2013,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,frozen.jpg,"When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
The Great Gatsby,2013,https://m.media-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_SX300.jpg,the_great_gatsby.jpg,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
Her,2013,https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,her.jpg,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
Blue Jasmine,2013,https://m.media-amazon.com/images/M/MV5BMTc0ODk5MzEyMV5BMl5BanBnXkFtZTcwMzI0MDY1OQ@@._V1_SX300.jpg,blue_jasmine.jpg,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love..."
Mr Hublot,2013,https://m.media-amazon.com/images/M/MV5BMTYyOTQyNTYwOF5BMl5BanBnXkFtZTgwNDE0OTU2MDE@._V1_SX300.jpg,mr_hublot.jpg,"Mr Hublot is a withdrawn, idiosyncratic character with OCD, scared of change and the outside world. Robot Pet's arrival turns his life upside down: he has to share his home with this very invasive companion."
The Lady in Number 6,2013,https://m.media-amazon.com/images/M/MV5BMjAzNDg3ODM1OV5BMl5BanBnXkFtZTgwNTQ1MzA1MDE@._V1_SX300.jpg,the_lady_in_number_6.jpg,"Aliza Sommer-Herz, aged 109 and the world's oldest Holocaust survivor, tells the story of how music saved her life: both during her time at Theresienstadt concentration camp and in the years afterwards."
Helium,2013,https://m.media-amazon.com/images/M/MV5BMjA0NDI1MTQ1Ml5BMl5BanBnXkFtZTgwNjk5NjE1MjE@._V1_SX300.jpg,helium.jpg,"A young boy Alfred is dying, but through the stories about HELIUM - a magical fantasy world, told by the hospital's eccentric janitor Enzo, Alfred regain the joy and happiness of his life, and finds a safe haven away from daily life."
The Great Beauty,2013,https://m.media-amazon.com/images/M/MV5BMTQ0ODg1OTQ2Nl5BMl5BanBnXkFtZTgwNTc2MDY1MDE@._V1_SX300.jpg,the_great_beauty.jpg,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
20 Feet from Stardom,2013,https://m.media-amazon.com/images/M/MV5BMTQxNDY2NjMwNF5BMl5BanBnXkFtZTcwNzExMDg0OQ@@._V1_SX300.jpg,20_feet_from_stardom.jpg,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now."
Argo,2012,https://m.media-amazon.com/images/M/MV5BNzljNjY3MDYtYzc0Ni00YjU0LWIyNDUtNTE0ZDRiMGExMjZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,argo.jpg,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
Life of Pi,2012,https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,life_of_pi.jpg,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
Les Miserables,2012,https://m.media-amazon.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_SX300.jpg,les_miserables.jpg,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
Lincoln,2012,https://m.media-amazon.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,lincoln.jpg,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
Django Unchained,2012,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,django_unchained.jpg,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
Skyfall,2012,https://m.media-amazon.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,skyfall.jpg,"Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
Silver Linings Playbook,2012,https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SX300.jpg,silver_linings_playbook.jpg,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
Zero Dark Thirty,2012,https://m.media-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg,zero_dark_thirty.jpg,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
Amour,2012,https://m.media-amazon.com/images/M/MV5BMTk1NTc3NDc4MF5BMl5BanBnXkFtZTcwNjYwNDk0OA@@._V1_SX300.jpg,amour.jpg,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
Anna Karenina,2012,https://m.media-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,anna_karenina.jpg,"In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky."
Paperman,2012,https://m.media-amazon.com/images/M/MV5BMTM4ODg0MzM0MV5BMl5BanBnXkFtZTcwNDY2MTc3Nw@@._V1_SX300.jpg,paperman.jpg,An office worker meets the girl of his dreams and uses a fleet of paper airplanes to get her attention.
Brave,2012,https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,brave.jpg,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
Searching for Sugar Man,2012,https://m.media-amazon.com/images/M/MV5BMWYyMzgxNDQtMDI2Mi00NmMzLWI5MTAtMmUwNDg3Yjg3N2U3XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,searching_for_sugar_man.jpg,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez."
Inocente,2012,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MzkyMjExMF5BMl5BanBnXkFtZTcwODc1NzEzOA@@._V1_SX300.jpg,inocente.jpg,"A personal and vibrant coming of age story about a young artist's determination never to surrender to the bleakness of her surroundings. At 15, Inocente refuses to let her dream of becoming..."
Curfew,2012,https://m.media-amazon.com/images/M/MV5BM2M5ZjQ3YTYtODU2OS00YjhjLWEyMmItZjA1MTJlMjA0OTc1XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,curfew.jpg,"On the brink of demise, a self-destructive man who has sadly reached the lowest point in his life, receives an unexpected call from his estranged sister to look after her young daughter for the night."
The Artist,2011,https://m.media-amazon.com/images/M/MV5BMDUyZWU5N2UtOWFlMy00MTI0LTk0ZDYtMzFhNjljODBhZDA5XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,the_artist.jpg,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
